slug,title,manufacturer,release_year,aliases,series,genre,platform_hardware,variant_group,seed_tier,search_priority,notes
street-fighter-ii-champion-edition,"Street Fighter II': Champion Edition",Capcom,1992,"Champion Edition|SF2 CE|Street Fighter 2 Champion Edition",Street Fighter,Fighting,CPS-1,street-fighter-ii,1,96,"Classic baseline search title."
super-street-fighter-ii-turbo,Super Street Fighter II Turbo,Capcom,1994,"ST|Super Turbo|SSF2T",Street Fighter,Fighting,CPS-2,street-fighter-ii,1,98,"Still commonly searched by shorthand."
street-fighter-alpha-2,Street Fighter Alpha 2,Capcom,1996,"SFA2|Alpha 2",Street Fighter,Fighting,CPS-2,street-fighter-alpha,1,82,"Useful if retro fighter-heavy venues are in scope."
street-fighter-alpha-3,Street Fighter Alpha 3,Capcom,1998,"SFA3|Alpha 3",Street Fighter,Fighting,CPS-2,street-fighter-alpha,1,88,"Widely recognized sequel."
street-fighter-iii-3rd-strike,"Street Fighter III: 3rd Strike",Capcom,1999,"3rd Strike|Third Strike|SF3S|SFIII 3S",Street Fighter,Fighting,CPS-3,street-fighter-iii,1,100,"High-priority competitive search title."
street-fighter-iv-arcade-edition,Super Street Fighter IV Arcade Edition,Capcom,2010,"SF4 AE|Arcade Edition|SSF4 AE",Street Fighter,Fighting,Taito Type X2,street-fighter-iv,1,84,"Worth including if modern fighter locations matter."
street-fighter-v-type-arcade,Street Fighter V: Type Arcade,Capcom,2019,"SFV Type Arcade|Street Fighter V Arcade",Street Fighter,Fighting,Taito Type X Live,street-fighter-v,1,72,"Modern but less common; still searchable."
tekken-3,Tekken 3,Namco,1997,"Tekken III",Tekken,Fighting,System 12,tekken,1,92,"One of the most recognizable 3D fighters."
tekken-tag-tournament,Tekken Tag Tournament,Namco,1999,"TTT|Tekken Tag",Tekken,Fighting,System 12,tekken-tag,1,86,"Arcade staple with strong nostalgic search value."
tekken-5-dark-resurrection,Tekken 5: Dark Resurrection,Namco,2005,"T5DR|Dark Resurrection",Tekken,Fighting,System 256,tekken-5,1,76,"Useful if a venue has a stronger mid-2000s lineup."
tekken-7-fated-retribution,TEKKEN 7: Fated Retribution,Bandai Namco,2016,"Tekken 7 FR|T7FR|Tekken 7",Tekken,Fighting,ES3X,tekken-7,1,90,"Modern tournament-relevant title."
soulcalibur,Soulcalibur,Namco,1998,"Soul Calibur|SC1",Soulcalibur,Fighting,NAOMI,soulcalibur,1,70,"Classic 3D weapon fighter."
soulcalibur-ii,Soulcalibur II,Namco,2002,"Soul Calibur 2|SC2",Soulcalibur,Fighting,System 246,soulcalibur,1,82,"Often searched sequel."
